"00000001","00000001","00000010","2019-03-12","2019-03-20","00003200",
"00000002","00000002","00000009","2019-01-01","2019-01-10","000000897",
"00000003","00000003","00000008","2019-04-04","2019-04-11","00004590",
"00000004","00000004","00000007","2019-05-08","2019-05-15","00054678",
"00000005","00000005","00000006","2019-01-27","2019-02-05","00000045",
"00000006","00000006","00000005","2019-02-03","2019-02-09","00000980",
"00000007","00000007","00000004","2019-06-09","2019-06-14","00002345",
"00000008","00000008","00000003","2019-03-29","2019-04-05","00000086",
"00000009","00000009","00000002","2019-06-01","2019-06-10","00000034",
"00000010","00000010","00000001","2018-11-28","2018-12-05","00003476",
